Date,AAPL,MSFT,NVDA,QQQ,SPY
2019-01-02,37.57520294189453,94.78968811035156,3.377354145050049,148.4185333251953,225.66014099121094
2019-01-03,33.83244705200195,91.3025894165039,3.173304796218872,143.569580078125,220.27528381347656
2019-01-04,35.276729583740234,95.54896545410156,3.376610517501831,149.712158203125,227.65354919433594
2019-01-07,35.19820022583008,95.67082977294922,3.555370330810547,151.4945526123047,229.44851684570312
2019-01-08,35.869197845458984,96.36453247070312,3.466858148574829,152.86492919921875,231.60426330566406
2019-01-09,36.47831344604492,97.74246978759766,3.5350406169891357,154.11068725585938,232.68666076660156
2019-01-10,36.59490203857422,97.11444091796875,3.6007425785064697,154.5514373779297,233.50750732421875
2019-01-11,36.2356071472168,96.36453247070312,3.6899991035461426,153.98609924316406,233.5977020263672
2019-01-14,35.69072723388672,95.66146087646484,3.7299160957336426,152.62533569335938,232.1725616455078
2019-01-15,36.42121124267578,98.43616485595703,3.7157838344573975,155.60560607910156,234.83343505859375
2019-01-16,36.86614227294922,98.78297424316406,3.690246820449829,155.57681274414062,235.40171813964844
2019-01-17,37.08505630493164,99.4766845703125,3.7616512775421143,156.80343627929688,237.1876220703125
2019-01-18,37.31348419189453,100.9671401977539,3.890824794769287,158.35586547851562,240.34457397460938
2019-01-22,36.47592544555664,99.06422424316406,3.6885111331939697,155.18397521972656,237.09738159179688
2019-01-23,36.62347412109375,100.02973937988281,3.7014036178588867,155.3851776123047,237.59356689453125
2019-01-24,36.33316421508789,99.55166625976562,3.9133875370025635,156.3914031982422,237.71981811523438
2019-01-25,37.53713607788086,100.46094512939453,3.970660448074341,158.260009765625,239.7312774658203
2019-01-28,37.189754486083984,98.50179290771484,3.421734571456909,156.30514526367188,237.90924072265625
2019-01-29,36.804290771484375,96.49575805664062,3.2628087997436523,154.82937622070312,237.59356689453125
2019-01-30,39.319305419921875,99.72037506103516,3.406362533569336,158.76792907714844,241.35482788085938
2019-01-31,39.60243606567383,97.8924789428711,3.5640487670898438,161.14447021484375,243.47450256347656
2019-02-01,39.62146759033203,96.34577178955078,3.588346004486084,160.46409606933594,243.5917510986328
2019-02-04,40.746925354003906,99.12045288085938,3.698676586151123,162.4573516845703,245.30560302734375
2019-02-05,41.4440803527832,100.5078125,3.7177672386169434,163.89474487304688,246.33370971679688
2019-02-06,41.458370208740234,99.39230346679688,3.793386936187744,163.40602111816406,246.0090789794922
2019-02-07,40.67317199707031,98.67987823486328,3.6550397872924805,161.21151733398438,243.66395568847656
2019-02-08,40.72096252441406,99.05485534667969,3.673635721206665,161.52780151367188,243.96157836914062
2019-02-11,40.48677062988281,98.6611328125,3.630990982055664,161.37448120117188,244.09681701660156
2019-02-12,40.835655212402344,100.19847106933594,3.7480151653289795,163.7605743408203,247.23583984375
2019-02-13,40.66599655151367,100.12348175048828,3.790412425994873,163.8755645751953,248.0385284423828
2019-02-14,40.81416320800781,100.20784759521484,3.8313205242156982,164.07679748535156,247.48837280273438
2019-02-15,40.72334289550781,101.44522857666016,3.9009904861450195,164.76673889160156,250.18533325195312
2019-02-19,40.84521484375,101.39833068847656,3.8836350440979004,165.0925750732422,250.6182861328125
2019-02-20,41.10806655883789,100.87117767333984,3.930990219116211,165.06378173828125,251.1234130859375
2019-02-21,40.87628173828125,102.99874877929688,3.8620643615722656,164.46011352539062,250.23046875
2019-02-22,41.33269119262695,104.4673080444336,3.9468579292297363,165.67710876464844,251.7818145751953
2019-02-25,41.633785247802734,105.05097961425781,3.9344615936279297,166.2808380126953,252.1245880126953
2019-02-26,41.65767288208008,105.7758560180664,3.895040273666382,166.45333862304688,251.9441680908203
2019-02-27,41.786712646484375,105.59699249267578,3.8531394004821777,166.34793090820312,251.8359832763672
2019-02-28,41.37569808959961,105.46520233154297,3.82856822013855,165.96463012695312,251.36695861816406
2019-03-01,41.810604095458984,105.93588256835938,3.882923126220703,167.11459350585938,252.93643188476562
2019-03-04,42.02088928222656,105.68171691894531,3.8911120891571045,167.143310546875,252.01637268066406
2019-03-05,41.944427490234375,105.15453338623047,3.884660005569458,167.26788330078125,251.67355346679688
2019-03-06,41.70307540893555,105.20159149169922,3.773719072341919,166.31918334960938,250.14915466308594
2019-03-07,41.22039031982422,103.92129516601562,3.7044737339019775,164.2780303955078,248.056640625
2019-03-08,41.31835174560547,104.03425598144531,3.7387239933013916,164.0288848876953,247.56056213378906
2019-03-11,42.74971008300781,106.21831512451172,3.999321699142456,167.44032287597656,251.150390625
2019-03-12,43.230018615722656,106.9620132446289,4.033572196960449,168.36032104492188,252.0974578857422
2019-03-13,43.42118835449219,107.79043579101562,4.184967517852783,169.62521362304688,253.7662353515625
2019-03-14,43.903892517089844,107.87519836425781,4.1090216636657715,169.3377685546875,253.60382080078125
2019-03-15,44.47500228881836,109.11782836914062,4.214503288269043,170.9093780517578,254.85679626464844
2019-03-18,44.92901611328125,110.68054962158203,4.1931586265563965,171.3163604736328,255.78079223632812
2019-03-19,44.57296371459961,110.755859375,4.360934257507324,171.89239501953125,255.84434509277344
2019-03-20,44.96247100830078,110.63349151611328,4.328421115875244,172.573974609375,255.07427978515625
2019-03-21,46.618446350097656,113.17527770996094,4.565195083618164,175.27171325683594,257.9552001953125
2019-03-22,45.653072357177734,110.19103240966797,4.405360698699951,171.42196655273438,252.99053955078125
2019-03-25,45.10107421875,110.76530456542969,4.313034534454346,171.0955810546875,252.8002166748047
2019-03-26,44.635108947753906,111.00064086914062,4.3897247314453125,171.89239501953125,254.68460083007812
