,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio
Momentum Strategy,0.941684366945404,0.1487779954689099,0.2125523116043533,0.6527190415517787
Equal Weight Portfolio,10.238608961698478,0.6121300020007812,0.3337456973666671,1.4322553878476767
SPY,1.5120443674405544,0.1983106354212043,0.20099522655213536,0.900408029973873
QQQ,2.270818218240677,0.2674452745370841,0.24602613239218957,0.9637787734098537
